City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Rikitea,PF,79.99,overcast clouds,-23.1203,-134.9692,Chez Bianca & Benoit
6,Castro,BR,74.14,few clouds,-24.7911,-50.0119,Hotel Central Palace
12,Chuy,UY,79.03,scattered clouds,-33.6971,-53.4616,Alerces
27,Palembang,ID,73.49,mist,-2.9167,104.7458,OYO 183 The Pipe House
29,Cidreira,BR,77.63,overcast clouds,-30.1811,-50.2056,Hotel Castelo
34,Puerto Ayora,EC,84.16,light rain,-0.7393,-90.3518,Hostal La Mirada De Solitario George
38,Salinopolis,BR,79.47,overcast clouds,-0.6136,-47.3561,Hotel Salinópolis
39,Porto Nacional,BR,78.8,few clouds,-10.7081,-48.4172,Aliança
40,Manokwari,ID,78.49,overcast clouds,-0.8667,134.0833,Hotel Arfak
41,Hithadhoo,MV,82.24,broken clouds,-0.6,73.0833,Pebbles Inn
43,Angoche,MZ,77.02,light rain,-16.2325,39.9086,Hotel Quirimbas
44,Itaqui,BR,87.31,broken clouds,-29.1253,-56.5531,Hotel Contursi
45,Upington,ZA,73.78,light rain,-28.4478,21.2561,Die Eiland Holiday Ressort
48,Ambovombe,MG,72.46,overcast clouds,-25.1667,46.0833,La source
52,Vaini,TO,80.76,light rain,-21.2,-175.2,Keleti International Resort
58,Atuona,PF,79.84,few clouds,-9.8,-139.0333,Pearl Resort
64,Sao Joao Da Barra,BR,87.89,scattered clouds,-21.6403,-41.0511,Pousada Mediterrâneo
65,Georgetown,MY,80.53,few clouds,5.4112,100.3354,Page 63 hostel
69,Pisco,PE,75.25,clear sky,-13.7,-76.2167,La Portada
74,Yulara,AU,70.03,clear sky,-25.2406,130.9889,Outback Pioneer Hotel & Lodge
76,Richards Bay,ZA,72.5,clear sky,-28.783,32.0377,Protea Hotel
80,Souillac,MU,80.98,moderate rain,-20.5167,57.5167,Hotel SkylineInn
82,Camana,PE,77.47,broken clouds,-16.6228,-72.7111,Caja Arequipa
85,Vila Velha,BR,87.75,clear sky,-20.3297,-40.2925,Hotel Prainha
