City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Dikson,RU,73.5069,80.5464,-4.92,96,100,7.94,overcast clouds
1,Rikitea,PF,-23.1203,-134.9692,79.99,75,100,15.99,overcast clouds
2,San Quintin,MX,30.4833,-115.95,58.5,68,0,15.17,clear sky
3,Chokurdakh,RU,70.6333,147.9167,-34.71,96,14,6.46,few clouds
4,Kavaratti,IN,10.5669,72.642,82.24,58,0,4.27,clear sky
5,Bluff,NZ,-46.6,168.3333,52.95,64,76,7.49,broken clouds
6,Castro,BR,-24.7911,-50.0119,74.14,80,12,8.68,few clouds
7,Busselton,AU,-33.65,115.3333,60.49,74,57,9.44,broken clouds
8,Bredasdorp,ZA,-34.5322,20.0403,67.12,88,88,7.63,light rain
9,Tuktoyaktuk,CA,69.4541,-133.0374,-34.6,74,0,3.44,clear sky
10,Fairbanks,US,64.8378,-147.7164,-10.08,72,0,3.44,snow
11,Abay,KZ,49.6311,72.8539,8.98,88,100,5.53,overcast clouds
12,Chuy,UY,-33.6971,-53.4616,79.03,56,43,10.38,scattered clouds
13,Ribeira Grande,PT,38.5167,-28.7,61.2,72,75,25.32,broken clouds
14,Saint-Gaudens,FR,43.0833,0.6667,41.02,85,24,2.71,few clouds
15,Lagoa,PT,39.05,-27.9833,57.42,66,100,13.76,overcast clouds
16,Hasaki,JP,35.7333,140.8333,45.21,62,100,18.07,overcast clouds
17,Albany,US,42.6001,-73.9662,37.63,90,100,3.6,overcast clouds
18,Jamestown,US,42.097,-79.2353,35.19,100,100,4.0,overcast clouds
19,Ushuaia,AR,-54.8,-68.3,46.06,66,75,24.16,light rain
20,Norman Wells,CA,65.282,-126.8329,-16.56,69,20,14.97,few clouds
21,Lebu,CL,-37.6167,-73.65,62.46,61,0,17.74,clear sky
22,Mataura,NZ,-46.1927,168.8643,45.0,97,68,0.51,broken clouds
23,Saldanha,ZA,-33.0117,17.9442,65.71,88,100,7.81,overcast clouds
24,Arraial Do Cabo,BR,-22.9661,-42.0278,91.36,55,0,18.41,clear sky
25,Vostok,RU,46.4856,135.8833,11.17,92,7,6.29,clear sky
26,Hermanus,ZA,-34.4187,19.2345,65.8,92,100,9.75,heavy intensity rain
27,Palembang,ID,-2.9167,104.7458,73.49,100,40,4.61,mist
28,Bambous Virieux,MU,-20.3428,57.7575,81.21,83,75,3.44,moderate rain
29,Cidreira,BR,-30.1811,-50.2056,77.63,80,99,4.05,overcast clouds
30,Farakka,IN,24.8167,87.9,72.68,30,0,3.89,clear sky
31,Beloha,MG,-25.1667,45.05,69.78,92,100,9.89,light rain
32,Hobart,AU,-42.8794,147.3294,62.26,91,75,5.75,broken clouds
33,Zaysan,KZ,47.4667,84.8667,25.32,98,100,1.39,overcast clouds
34,Puerto Ayora,EC,-0.7393,-90.3518,84.16,88,54,8.99,light rain
35,Mount Gambier,AU,-37.8333,140.7667,53.11,96,8,3.8,clear sky
36,Zwedru,LR,6.0667,-8.1281,78.93,78,5,4.81,clear sky
37,Samarai,PG,-10.6167,150.6667,80.02,75,100,6.49,overcast clouds
38,Salinopolis,BR,-0.6136,-47.3561,79.47,86,100,7.49,overcast clouds
39,Porto Nacional,BR,-10.7081,-48.4172,78.8,54,14,2.55,few clouds
40,Manokwari,ID,-0.8667,134.0833,78.49,79,100,8.48,overcast clouds
41,Hithadhoo,MV,-0.6,73.0833,82.24,73,66,6.51,broken clouds
42,Port Lincoln,AU,-34.7333,135.8667,64.31,76,45,7.09,scattered clouds
43,Angoche,MZ,-16.2325,39.9086,77.02,91,100,6.06,light rain
44,Itaqui,BR,-29.1253,-56.5531,87.31,50,71,7.9,broken clouds
45,Upington,ZA,-28.4478,21.2561,73.78,73,20,16.11,light rain
46,Kodiak,US,57.79,-152.4072,27.91,40,0,0.0,clear sky
47,Seydi,TM,39.4816,62.9137,65.43,39,100,12.39,overcast clouds
48,Ambovombe,MG,-25.1667,46.0833,72.46,90,100,8.39,overcast clouds
49,Torbay,CA,47.6666,-52.7314,28.27,55,15,13.0,few clouds
